"# includedInAnalysis='no' means this variable will be omitted in the analysis, 'yes' or leave blank means they enter the analysis."				
"# dataType={""categorical"",""continuous""}"				
"# drivenType={""knowledge"",""data"",""response"",""id""}, where 'id' type is not used for now but will be useful later for random effect or gee based method; response marked as response variable, can be more than 1. Later, algorithms with model file can take care of bivariate or multivariate response variables by specifying their names in the model files."				
"# comment: any comment put here, doesn't matter."				
colname	drivenType	dataType	includedInAnalysis	comment
DXMCCS3	data	categorical	no	
DXMCCS4	data	categorical	no	
DXMCCS5	data	categorical	no	
DXMCCS6	data	categorical	no	
DXMCCS7	data	categorical	no	
DXMCCS8	data	categorical	no	
DXMCCS9	data	categorical	no	
DXMCCS10	data	categorical	no	
DXMCCS11	data	categorical	no	
DXMCCS12	data	categorical	no	
DXMCCS13	data	categorical	no	
DXMCCS14	data	categorical	no	
DXMCCS15	data	categorical	no	
E_MCCS1	data	categorical	no	multilevel CC
E_MCCS2	data	categorical	no	
E_MCCS3	data	categorical	no	
E_MCCS4	data	categorical	no	
E_MCCS5	data	categorical	no	
E_MCCS6	data	categorical	no	
E_MCCS7	data	categorical	no	
KEYCSV.2	id	categorical	no	
PCLASS1	data	categorical	no	"assist the Pr1. The Procedure Classes provide users an easy way to categorize ICD-9-CM procedure codes into one of four broad categories. 

"
PCLASS2	data	categorical	no	
PCLASS3	data	categorical	no	
PCLASS4	data	categorical	no	
PCLASS5	data	categorical	no	
PCLASS6	data	categorical	no	
PCLASS7	data	categorical	no	
PCLASS8	data	categorical	no	
PCLASS9	data	categorical	no	
PCLASS10	data	categorical	no	
PCLASS11	data	categorical	no	
PCLASS12	data	categorical	no	
PCLASS13	data	categorical	no	
PCLASS14	data	categorical	no	
PCLASS15	data	categorical	no	
PRMCCS1	data	categorical	no	multilevel PR CCS
PRMCCS2	data	categorical	no	
PRMCCS3	data	categorical	no	
PRMCCS4	data	categorical	no	
PRMCCS5	data	categorical	no	
PRMCCS6	data	categorical	no	
PRMCCS7	data	categorical	no	
PRMCCS8	data	categorical	no	
PRMCCS9	data	categorical	no	
PRMCCS10	data	categorical	no	
PRMCCS11	data	categorical	no	
PRMCCS12	data	categorical	no	
PRMCCS13	data	categorical	no	
PRMCCS14	data	categorical	no	
PRMCCS15	data	categorical	no	
U_BLOOD	data	categorical	no	utilization flag.
U_CATH	data	categorical	no	
U_CCU	data	categorical	no	
U_CHESTXRAY	data	categorical	no	
U_CTSCAN	data	categorical	no	
U_DIALYSIS	data	categorical	no	
U_ECHO	data	categorical	no	
U_ED	data	categorical	no	
U_EEG	data	categorical	no	
U_EKG	data	categorical	no	
U_EPO	data	categorical	no	
U_ICU	data	categorical	no	
U_LITHOTRIPSY	data	categorical	no	
U_MHSA	data	categorical	no	
U_MRT	data	categorical	no	
U_NEWBN2L	data	categorical	no	
U_NEWBN3L	data	categorical	no	
U_NEWBN4L	data	categorical	no	
U_NUCMED	data	categorical	no	
U_OBSERVATION	data	categorical	no	
U_OCCTHERAPY	data	categorical	no	
U_ORGANACQ	data	categorical	no	
U_OTHIMPLANTS	data	categorical	no	
U_PACEMAKER	data	categorical	no	
U_PHYTHERAPY	data	categorical	no	
U_RADTHERAPY	data	categorical	no	
U_RESPTHERAPY	data	categorical	no	
U_SPEECHTHERAPY	data	categorical	no	
U_STRESS	data	categorical	no	
U_ULTRASOUND	data	categorical	no	
patientUnitStayID	id	categorical	no	
patientHealthSystemStayID	id	categorical	no	
acutePhysiologyScore	data	continuous	yes	
apacheScore	data	continuous	yes	
predictedICUMortality	data	continuous	yes	
actualICUMortality	data	categorical	yes	
predictedICULOS	data	continuous	yes	
actualICULOS	data	continuous	yes	
predictedHospitalMortality	data	continuous	yes	
actualHospitalMortality	data	categorical	yes	
predictedHospitalLOS	data	continuous	yes	
actualHospitalLOS	data	continuous	yes	
patientID	id	categorical	no	
pairID	id	categorical	no	
year	data	categorical	yes	
N_CM	data	continuous	yes	number of commorbidities
DXCCS_secondary_value1	data	categorical	no	
DXCCS_secondary_value10	data	categorical	no	
DXCCS_secondary_value100	data	categorical	no	
DXCCS_secondary_value101	data	categorical	no	
DXCCS_secondary_value102	data	categorical	no	
DXCCS_secondary_value103	data	categorical	no	
DXCCS_secondary_value104	data	categorical	no	
DXCCS_secondary_value105	data	categorical	no	
DXCCS_secondary_value106	data	categorical	no	
DXCCS_secondary_value107	data	categorical	no	
DXCCS_secondary_value108	data	categorical	no	
DXCCS_secondary_value109	data	categorical	no	
DXCCS_secondary_value11	data	categorical	no	
DXCCS_secondary_value110	data	categorical	no	
DXCCS_secondary_value111	data	categorical	no	
DXCCS_secondary_value112	data	categorical	no	
DXCCS_secondary_value113	data	categorical	no	
DXCCS_secondary_value114	data	categorical	no	
DXCCS_secondary_value115	data	categorical	no	
DXCCS_secondary_value116	data	categorical	no	
DXCCS_secondary_value117	data	categorical	no	
DXCCS_secondary_value118	data	categorical	no	
DXCCS_secondary_value119	data	categorical	no	
DXCCS_secondary_value12	data	categorical	no	
DXCCS_secondary_value120	data	categorical	no	
DXCCS_secondary_value121	data	categorical	no	
DXCCS_secondary_value122	data	categorical	no	
DXCCS_secondary_value123	data	categorical	no	
DXCCS_secondary_value124	data	categorical	no	
DXCCS_secondary_value125	data	categorical	no	
DXCCS_secondary_value126	data	categorical	no	
DXCCS_secondary_value127	data	categorical	no	
DXCCS_secondary_value128	data	categorical	no	
DXCCS_secondary_value129	data	categorical	no	
DXCCS_secondary_value13	data	categorical	no	
DXCCS_secondary_value130	data	categorical	no	
DXCCS_secondary_value131	data	categorical	no	
DXCCS_secondary_value132	data	categorical	no	
DXCCS_secondary_value133	data	categorical	no	
DXCCS_secondary_value134	data	categorical	no	
DXCCS_secondary_value135	data	categorical	no	
DXCCS_secondary_value136	data	categorical	no	
DXCCS_secondary_value137	data	categorical	no	
DXCCS_secondary_value138	data	categorical	no	
DXCCS_secondary_value139	data	categorical	no	
DXCCS_secondary_value14	data	categorical	no	
DXCCS_secondary_value140	data	categorical	no	
DXCCS_secondary_value141	data	categorical	no	
DXCCS_secondary_value142	data	categorical	no	
DXCCS_secondary_value143	data	categorical	no	
DXCCS_secondary_value144	data	categorical	no	
DXCCS_secondary_value145	data	categorical	no	
DXCCS_secondary_value146	data	categorical	no	
DXCCS_secondary_value147	data	categorical	no	
DXCCS_secondary_value148	data	categorical	no	
DXCCS_secondary_value149	data	categorical	no	
DXCCS_secondary_value15	data	categorical	no	
DXCCS_secondary_value151	data	categorical	no	
DXCCS_secondary_value152	data	categorical	no	
DXCCS_secondary_value153	data	categorical	no	
DXCCS_secondary_value154	data	categorical	no	
DXCCS_secondary_value155	data	categorical	no	
DXCCS_secondary_value156	data	categorical	no	
DXCCS_secondary_value157	data	categorical	no	
DXCCS_secondary_value158	data	categorical	no	
DXCCS_secondary_value159	data	categorical	no	
DXCCS_secondary_value16	data	categorical	no	
DXCCS_secondary_value160	data	categorical	no	
DXCCS_secondary_value161	data	categorical	no	
DXCCS_secondary_value162	data	categorical	no	
DXCCS_secondary_value163	data	categorical	no	
DXCCS_secondary_value164	data	categorical	no	
DXCCS_secondary_value165	data	categorical	no	
DXCCS_secondary_value166	data	categorical	no	
DXCCS_secondary_value167	data	categorical	no	
DXCCS_secondary_value168	data	categorical	no	
DXCCS_secondary_value169	data	categorical	no	
DXCCS_secondary_value17	data	categorical	no	
DXCCS_secondary_value170	data	categorical	no	
DXCCS_secondary_value171	data	categorical	no	
DXCCS_secondary_value172	data	categorical	no	
DXCCS_secondary_value173	data	categorical	no	
DXCCS_secondary_value175	data	categorical	no	
DXCCS_secondary_value176	data	categorical	no	
DXCCS_secondary_value18	data	categorical	no	
DXCCS_secondary_value181	data	categorical	no	
DXCCS_secondary_value182	data	categorical	no	
DXCCS_secondary_value183	data	categorical	no	
DXCCS_secondary_value184	data	categorical	no	
DXCCS_secondary_value185	data	categorical	no	
DXCCS_secondary_value186	data	categorical	no	
DXCCS_secondary_value187	data	categorical	no	
DXCCS_secondary_value189	data	categorical	no	
DXCCS_secondary_value19	data	categorical	no	
DXCCS_secondary_value191	data	categorical	no	
DXCCS_secondary_value192	data	categorical	no	
DXCCS_secondary_value193	data	categorical	no	
DXCCS_secondary_value195	data	categorical	no	
DXCCS_secondary_value196	data	categorical	no	
DXCCS_secondary_value197	data	categorical	no	
DXCCS_secondary_value198	data	categorical	no	
DXCCS_secondary_value199	data	categorical	no	
DXCCS_secondary_value2	data	categorical	no	
DXCCS_secondary_value20	data	categorical	no	
DXCCS_secondary_value200	data	categorical	no	
DXCCS_secondary_value201	data	categorical	no	
DXCCS_secondary_value202	data	categorical	no	
DXCCS_secondary_value203	data	categorical	no	
DXCCS_secondary_value204	data	categorical	no	
DXCCS_secondary_value205	data	categorical	no	
DXCCS_secondary_value206	data	categorical	no	
DXCCS_secondary_value207	data	categorical	no	
DXCCS_secondary_value208	data	categorical	no	
DXCCS_secondary_value209	data	categorical	no	
DXCCS_secondary_value21	data	categorical	no	
DXCCS_secondary_value210	data	categorical	no	
DXCCS_secondary_value211	data	categorical	no	
DXCCS_secondary_value212	data	categorical	no	
DXCCS_secondary_value213	data	categorical	no	
DXCCS_secondary_value214	data	categorical	no	
DXCCS_secondary_value215	data	categorical	no	
DXCCS_secondary_value216	data	categorical	no	
DXCCS_secondary_value217	data	categorical	no	
DXCCS_secondary_value22	data	categorical	no	
DXCCS_secondary_value225	data	categorical	no	
DXCCS_secondary_value226	data	categorical	no	
DXCCS_secondary_value227	data	categorical	no	
DXCCS_secondary_value228	data	categorical	no	
DXCCS_secondary_value229	data	categorical	no	
DXCCS_secondary_value23	data	categorical	no	
DXCCS_secondary_value230	data	categorical	no	
DXCCS_secondary_value231	data	categorical	no	
DXCCS_secondary_value232	data	categorical	no	
DXCCS_secondary_value233	data	categorical	no	
DXCCS_secondary_value234	data	categorical	no	
DXCCS_secondary_value235	data	categorical	no	
DXCCS_secondary_value236	data	categorical	no	
DXCCS_secondary_value237	data	categorical	no	
DXCCS_secondary_value238	data	categorical	no	
DXCCS_secondary_value239	data	categorical	no	
DXCCS_secondary_value24	data	categorical	no	
DXCCS_secondary_value240	data	categorical	no	
DXCCS_secondary_value241	data	categorical	no	
DXCCS_secondary_value242	data	categorical	no	
DXCCS_secondary_value243	data	categorical	no	
DXCCS_secondary_value244	data	categorical	no	
DXCCS_secondary_value245	data	categorical	no	
DXCCS_secondary_value246	data	categorical	no	
DXCCS_secondary_value247	data	categorical	no	
DXCCS_secondary_value248	data	categorical	no	
DXCCS_secondary_value249	data	categorical	no	
DXCCS_secondary_value25	data	categorical	no	
DXCCS_secondary_value250	data	categorical	no	
DXCCS_secondary_value251	data	categorical	no	
DXCCS_secondary_value252	data	categorical	no	
DXCCS_secondary_value253	data	categorical	no	
DXCCS_secondary_value254	data	categorical	no	
DXCCS_secondary_value255	data	categorical	no	
DXCCS_secondary_value256	data	categorical	no	
DXCCS_secondary_value257	data	categorical	no	
DXCCS_secondary_value259	data	categorical	no	
DXCCS_secondary_value26	data	categorical	no	
DXCCS_secondary_value27	data	categorical	no	
DXCCS_secondary_value28	data	categorical	no	
DXCCS_secondary_value29	data	categorical	no	
DXCCS_secondary_value3	data	categorical	no	
DXCCS_secondary_value30	data	categorical	no	
DXCCS_secondary_value32	data	categorical	no	
DXCCS_secondary_value33	data	categorical	no	
DXCCS_secondary_value34	data	categorical	no	
DXCCS_secondary_value35	data	categorical	no	
DXCCS_secondary_value36	data	categorical	no	
DXCCS_secondary_value37	data	categorical	no	
DXCCS_secondary_value38	data	categorical	no	
DXCCS_secondary_value39	data	categorical	no	
DXCCS_secondary_value4	data	categorical	no	
DXCCS_secondary_value40	data	categorical	no	
DXCCS_secondary_value41	data	categorical	no	
DXCCS_secondary_value42	data	categorical	no	
DXCCS_secondary_value43	data	categorical	no	
DXCCS_secondary_value44	data	categorical	no	
DXCCS_secondary_value45	data	categorical	no	
DXCCS_secondary_value46	data	categorical	no	
DXCCS_secondary_value47	data	categorical	no	
DXCCS_secondary_value48	data	categorical	no	
DXCCS_secondary_value49	data	categorical	no	
DXCCS_secondary_value5	data	categorical	no	
DXCCS_secondary_value50	data	categorical	no	
DXCCS_secondary_value51	data	categorical	no	
DXCCS_secondary_value52	data	categorical	no	
DXCCS_secondary_value53	data	categorical	no	
DXCCS_secondary_value54	data	categorical	no	
DXCCS_secondary_value55	data	categorical	no	
DXCCS_secondary_value56	data	categorical	no	
DXCCS_secondary_value57	data	categorical	no	
DXCCS_secondary_value58	data	categorical	no	
DXCCS_secondary_value59	data	categorical	no	
DXCCS_secondary_value6	data	categorical	no	
DXCCS_secondary_value60	data	categorical	no	
DXCCS_secondary_value61	data	categorical	no	
DXCCS_secondary_value62	data	categorical	no	
DXCCS_secondary_value63	data	categorical	no	
DXCCS_secondary_value64	data	categorical	no	
DXCCS_secondary_value650	data	categorical	no	
DXCCS_secondary_value651	data	categorical	no	
DXCCS_secondary_value652	data	categorical	no	
DXCCS_secondary_value653	data	categorical	no	
DXCCS_secondary_value654	data	categorical	no	
DXCCS_secondary_value655	data	categorical	no	
DXCCS_secondary_value656	data	categorical	no	
DXCCS_secondary_value657	data	categorical	no	
DXCCS_secondary_value658	data	categorical	no	
DXCCS_secondary_value659	data	categorical	no	
DXCCS_secondary_value660	data	categorical	no	
DXCCS_secondary_value661	data	categorical	no	
DXCCS_secondary_value662	data	categorical	no	
DXCCS_secondary_value663	data	categorical	no	
DXCCS_secondary_value670	data	categorical	no	
DXCCS_secondary_value7	data	categorical	no	
DXCCS_secondary_value76	data	categorical	no	
DXCCS_secondary_value77	data	categorical	no	
DXCCS_secondary_value78	data	categorical	no	
DXCCS_secondary_value79	data	categorical	no	
DXCCS_secondary_value8	data	categorical	no	
DXCCS_secondary_value80	data	categorical	no	
DXCCS_secondary_value81	data	categorical	no	
DXCCS_secondary_value82	data	categorical	no	
DXCCS_secondary_value83	data	categorical	no	
DXCCS_secondary_value84	data	categorical	no	
DXCCS_secondary_value85	data	categorical	no	
DXCCS_secondary_value86	data	categorical	no	
DXCCS_secondary_value87	data	categorical	no	
DXCCS_secondary_value88	data	categorical	no	
DXCCS_secondary_value89	data	categorical	no	
DXCCS_secondary_value9	data	categorical	no	
DXCCS_secondary_value90	data	categorical	no	
DXCCS_secondary_value91	data	categorical	no	
DXCCS_secondary_value92	data	categorical	no	
DXCCS_secondary_value93	data	categorical	no	
DXCCS_secondary_value94	data	categorical	no	
DXCCS_secondary_value95	data	categorical	no	
DXCCS_secondary_value96	data	categorical	no	
DXCCS_secondary_value97	data	categorical	no	
DXCCS_secondary_value98	data	categorical	no	
DXCCS_secondary_value99	data	categorical	no	
PRCCS_secondary_value0	data	categorical	no	
PRCCS_secondary_value1	data	categorical	no	
PRCCS_secondary_value10	data	categorical	no	
PRCCS_secondary_value100	data	categorical	no	
PRCCS_secondary_value101	data	categorical	no	
PRCCS_secondary_value102	data	categorical	no	
PRCCS_secondary_value103	data	categorical	no	
PRCCS_secondary_value104	data	categorical	no	
PRCCS_secondary_value105	data	categorical	no	
PRCCS_secondary_value106	data	categorical	no	
PRCCS_secondary_value107	data	categorical	no	
PRCCS_secondary_value108	data	categorical	no	
PRCCS_secondary_value109	data	categorical	no	
PRCCS_secondary_value11	data	categorical	no	
PRCCS_secondary_value110	data	categorical	no	
PRCCS_secondary_value111	data	categorical	no	
PRCCS_secondary_value112	data	categorical	no	
PRCCS_secondary_value113	data	categorical	no	
PRCCS_secondary_value114	data	categorical	no	
PRCCS_secondary_value115	data	categorical	no	
PRCCS_secondary_value117	data	categorical	no	
PRCCS_secondary_value118	data	categorical	no	
PRCCS_secondary_value119	data	categorical	no	
PRCCS_secondary_value12	data	categorical	no	
PRCCS_secondary_value120	data	categorical	no	
PRCCS_secondary_value121	data	categorical	no	
PRCCS_secondary_value123	data	categorical	no	
PRCCS_secondary_value124	data	categorical	no	
PRCCS_secondary_value125	data	categorical	no	
PRCCS_secondary_value127	data	categorical	no	
PRCCS_secondary_value128	data	categorical	no	
PRCCS_secondary_value129	data	categorical	no	
PRCCS_secondary_value130	data	categorical	no	
PRCCS_secondary_value131	data	categorical	no	
PRCCS_secondary_value132	data	categorical	no	
PRCCS_secondary_value134	data	categorical	no	
PRCCS_secondary_value135	data	categorical	no	
PRCCS_secondary_value136	data	categorical	no	
PRCCS_secondary_value137	data	categorical	no	
PRCCS_secondary_value139	data	categorical	no	
PRCCS_secondary_value140	data	categorical	no	
PRCCS_secondary_value141	data	categorical	no	
PRCCS_secondary_value142	data	categorical	no	
PRCCS_secondary_value144	data	categorical	no	
PRCCS_secondary_value145	data	categorical	no	
PRCCS_secondary_value146	data	categorical	no	
PRCCS_secondary_value147	data	categorical	no	
PRCCS_secondary_value148	data	categorical	no	
PRCCS_secondary_value152	data	categorical	no	
PRCCS_secondary_value153	data	categorical	no	
PRCCS_secondary_value154	data	categorical	no	
PRCCS_secondary_value155	data	categorical	no	
PRCCS_secondary_value156	data	categorical	no	
PRCCS_secondary_value157	data	categorical	no	
PRCCS_secondary_value158	data	categorical	no	
PRCCS_secondary_value159	data	categorical	no	
PRCCS_secondary_value160	data	categorical	no	
PRCCS_secondary_value161	data	categorical	no	
PRCCS_secondary_value162	data	categorical	no	
PRCCS_secondary_value163	data	categorical	no	
PRCCS_secondary_value164	data	categorical	no	
PRCCS_secondary_value165	data	categorical	no	
PRCCS_secondary_value166	data	categorical	no	
PRCCS_secondary_value167	data	categorical	no	
PRCCS_secondary_value168	data	categorical	no	
PRCCS_secondary_value169	data	categorical	no	
PRCCS_secondary_value170	data	categorical	no	
PRCCS_secondary_value171	data	categorical	no	
PRCCS_secondary_value172	data	categorical	no	
PRCCS_secondary_value173	data	categorical	no	
PRCCS_secondary_value174	data	categorical	no	
PRCCS_secondary_value175	data	categorical	no	
PRCCS_secondary_value176	data	categorical	no	
PRCCS_secondary_value177	data	categorical	no	
PRCCS_secondary_value178	data	categorical	no	
PRCCS_secondary_value179	data	categorical	no	
PRCCS_secondary_value18	data	categorical	no	
PRCCS_secondary_value180	data	categorical	no	
PRCCS_secondary_value181	data	categorical	no	
PRCCS_secondary_value182	data	categorical	no	
PRCCS_secondary_value184	data	categorical	no	
PRCCS_secondary_value185	data	categorical	no	
PRCCS_secondary_value187	data	categorical	no	
PRCCS_secondary_value188	data	categorical	no	
PRCCS_secondary_value189	data	categorical	no	
PRCCS_secondary_value19	data	categorical	no	
PRCCS_secondary_value190	data	categorical	no	
PRCCS_secondary_value191	data	categorical	no	
PRCCS_secondary_value192	data	categorical	no	
PRCCS_secondary_value193	data	categorical	no	
PRCCS_secondary_value194	data	categorical	no	
PRCCS_secondary_value195	data	categorical	no	
PRCCS_secondary_value196	data	categorical	no	
PRCCS_secondary_value197	data	categorical	no	
